bs_id,latitude,longitude,total_duration(s),unique_users,lambda
BS_541,31.060659,121.399957,1566720,49,0.099089
BS_542,31.060813,121.789941,37380,2,0.002364
BS_543,31.061709,121.771457,401040,2,0.025364
BS_544,31.062583,121.449860,3811320,74,0.241052
BS_545,31.062883,121.744224,1111500,52,0.070298
BS_546,31.063443,121.227299,79260,4,0.005013
BS_547,31.063518,121.215539,391080,6,0.024734
BS_548,31.063923,121.353076,3377280,68,0.213600
BS_549,31.064763,121.396913,1431900,53,0.090562
BS_550,31.065206,121.803371,4326000,166,0.273604
BS_551,31.065868,121.534543,74640,8,0.004721
BS_552,31.065995,121.314532,1570860,7,0.099351
BS_553,31.066230,121.321933,30874860,545,1.952721
BS_554,31.066368,121.208200,24328920,324,1.538714
BS_555,31.067235,121.762108,4432920,76,0.280366
BS_556,31.068209,121.373076,7612620,110,0.481470
BS_557,31.068626,121.108326,2618340,54,0.165600
BS_558,31.069261,121.375484,12194460,106,0.771255
BS_559,31.069540,120.928583,502620,42,0.031789
BS_560,31.069676,121.773361,11373420,55,0.719327
BS_561,31.069757,121.399847,21586920,235,1.365293
BS_562,31.069946,121.719641,11334720,139,0.716879
BS_563,31.070388,121.520258,10544400,218,0.666894
BS_564,31.070388,121.532962,11902260,194,0.752774
BS_565,31.070433,121.467199,2552220,70,0.161418
BS_566,31.071950,121.150279,13457700,109,0.851150
BS_567,31.071955,121.234457,8966580,244,0.567103
BS_568,31.072138,121.661831,3238920,96,0.204850
BS_569,31.072213,121.658885,3601020,100,0.227751
BS_570,31.072520,121.404373,265260,13,0.016777
BS_571,31.073061,120.970637,3583200,31,0.226624
BS_572,31.073134,121.317814,15265620,279,0.965494
BS_573,31.073706,121.680729,3884520,112,0.245682
BS_574,31.074013,121.407487,10741980,243,0.679391
BS_575,31.074814,121.713455,4657680,59,0.294581
BS_576,31.075231,121.436269,12992760,189,0.821744
BS_577,31.075694,121.505294,117360,6,0.007423
BS_578,31.077825,121.339810,18672660,269,1.180977
BS_579,31.078365,121.404647,11118360,240,0.703195
BS_580,31.078561,121.564629,4900620,201,0.309946
BS_581,31.078791,121.422082,20881860,252,1.320701
BS_582,31.080002,121.798389,2161860,61,0.136730
BS_583,31.080824,121.390896,12252180,164,0.774905
BS_584,31.080930,121.159291,3457020,69,0.218644
BS_585,31.081110,121.263537,22560000,212,1.426837
BS_586,31.081475,121.523285,26437980,222,1.672105
BS_587,31.081917,121.062248,6793020,41,0.429633
BS_588,31.082557,121.430065,2518620,4,0.159293
BS_589,31.082614,121.523874,4050540,98,0.256182
BS_590,31.082701,121.448694,13436520,134,0.849810
BS_591,31.084634,120.989297,201840,32,0.012766
BS_592,31.085146,121.589124,12008220,166,0.759476
BS_593,31.085245,121.533086,148380,4,0.009384
BS_594,31.085320,121.237002,2280480,176,0.144232
BS_595,31.085713,120.966216,761160,27,0.048141
BS_596,31.086136,121.507054,8285580,180,0.524032
BS_597,31.086916,121.387535,19652520,218,1.242949
BS_598,31.087050,121.503604,1849320,3,0.116963
BS_599,31.087108,121.371206,1819500,3,0.115077
BS_600,31.087196,121.505435,666900,30,0.042179
BS_601,31.087224,121.466989,1261740,47,0.079800
BS_602,31.087306,121.275545,13052340,168,0.825512
BS_603,31.087507,121.398717,7574040,166,0.479030
BS_604,31.088099,121.430111,13636140,126,0.862435
BS_605,31.088700,121.513069,1681920,24,0.106375
BS_606,31.088801,121.536584,3238740,125,0.204838
BS_607,31.089060,121.722984,7527840,107,0.476108
BS_608,31.090076,121.406999,7084080,335,0.448042
BS_609,31.091117,121.549904,1498800,42,0.094794
BS_610,31.092010,121.395696,690840,8,0.043693
BS_611,31.092058,121.387530,35097240,289,2.219771
BS_612,31.092304,120.912151,437040,34,0.027641
BS_613,31.094143,121.488864,4746120,127,0.300175
BS_614,31.094914,121.436820,30287640,168,1.915581
BS_615,31.095422,121.393617,14160,3,0.000896
BS_616,31.095884,121.350551,18344520,126,1.160223
BS_617,31.095990,121.238111,727440,99,0.046008
BS_618,31.096053,121.518157,6856500,159,0.433648
BS_619,31.096325,121.341209,14871900,474,0.940593
BS_620,31.098201,121.323149,221580,4,0.014014
BS_621,31.098359,121.073778,6747600,61,0.426761
BS_622,31.098558,121.377147,13407120,284,0.847951
BS_623,31.098701,121.582178,14668620,146,0.927736
BS_624,31.099085,121.386207,6524460,165,0.412648
BS_625,31.099126,121.813976,768060,45,0.048577
BS_626,31.099642,121.449578,29180880,136,1.845583
BS_627,31.099755,121.009542,576660,75,0.036472
BS_628,31.100034,121.663489,9941880,136,0.628787
BS_629,31.100465,121.401931,12328260,354,0.779717
BS_630,31.101140,121.181649,4995960,281,0.315976
BS_631,31.101299,120.918138,216240,30,0.013676
BS_632,31.101868,121.461669,199500,9,0.012618
BS_633,31.102000,121.462298,12727500,119,0.804967
BS_634,31.102210,121.277743,1536540,5,0.097180
BS_635,31.102445,121.413911,16329480,155,1.032779
BS_636,31.103460,121.419988,106620,5,0.006743
BS_637,31.103599,121.416145,244980,12,0.015494
BS_638,31.103660,121.420217,24726120,257,1.563836
BS_639,31.103853,121.810034,7816260,193,0.494350
BS_640,31.103957,121.456645,41220,5,0.002607
BS_641,31.104981,121.360938,14238480,204,0.900531
BS_642,31.105352,121.438535,7247880,139,0.458402
BS_643,31.105808,121.038742,10634220,68,0.672575
BS_644,31.106089,121.039819,3920940,171,0.247985
BS_645,31.106411,121.450195,209160,6,0.013229
BS_646,31.106732,121.290566,563040,6,0.035610
BS_647,31.106759,121.398956,5950260,165,0.376332
BS_648,31.107362,121.020176,3659820,40,0.231470
BS_649,31.108567,121.766873,20072340,335,1.269501
BS_650,31.108792,121.061126,795300,63,0.050300
BS_651,31.108876,121.345256,11126460,237,0.703707
BS_652,31.108880,121.390919,10448100,289,0.660804
BS_653,31.109271,121.617421,13039320,171,0.824689
BS_654,31.109649,121.402441,16728300,262,1.058003
BS_655,31.109666,121.052906,2880600,33,0.182187
BS_656,31.109806,121.242241,10752300,168,0.680043
BS_657,31.109998,121.164842,14929920,90,0.944262
BS_658,31.110093,121.371253,1281960,184,0.081079
BS_659,31.110606,121.517194,4918200,7,0.311058
BS_660,31.110847,121.509512,14940,2,0.000945
BS_661,31.111061,121.395692,253020,30,0.016003
BS_662,31.111358,121.020928,3751860,87,0.237291
BS_663,31.111396,121.379353,19089240,313,1.207324
BS_664,31.111607,121.324796,10590120,160,0.669786
BS_665,31.111821,121.385462,28409760,543,1.796812
BS_666,31.111905,121.052290,249360,5,0.015771
BS_667,31.111986,121.385210,163560,3,0.010345
BS_668,31.112344,121.480257,10495620,158,0.663809
BS_669,31.112548,121.538798,16161900,145,1.022180
BS_670,31.112651,121.404584,60120,7,0.003802
BS_671,31.112806,121.462647,5027880,82,0.317995
BS_672,31.112899,121.367429,148620,3,0.009400
BS_673,31.113159,121.064210,3321540,153,0.210075
BS_674,31.113501,121.393037,6116040,284,0.386817
BS_675,31.113675,121.383752,356520,31,0.022549
BS_676,31.113744,121.341878,23198880,253,1.467243
BS_677,31.113798,121.382691,1298160,99,0.082104
BS_678,31.114038,121.415096,17770140,250,1.123896
BS_679,31.114131,121.394475,15767340,476,0.997226
BS_680,31.114470,121.460831,455280,81,0.028795
BS_681,31.115176,121.365790,8214900,174,0.519562
BS_682,31.115773,120.907942,169500,11,0.010720
BS_683,31.116021,121.287621,50683200,239,3.205525
BS_684,31.116086,121.488253,864720,96,0.054690
BS_685,31.116103,121.435710,25409820,214,1.607077
BS_686,31.116535,121.678055,4847640,84,0.306595
BS_687,31.116740,121.586334,25123020,117,1.588938
BS_688,31.116791,121.166516,8104140,53,0.512557
BS_689,31.116903,121.595022,18078180,154,1.143378
BS_690,31.117005,121.271194,28038060,262,1.773304
BS_691,31.117100,121.391692,976380,171,0.061752
BS_692,31.117844,121.402074,11461260,391,0.724882
BS_693,31.117940,121.457471,11004660,76,0.696004
BS_694,31.118723,121.248449,4863060,98,0.307571
BS_695,31.119287,121.204986,8577180,104,0.542475
BS_696,31.119557,121.036331,2752440,46,0.174082
BS_697,31.119755,121.577952,2434680,162,0.153985
BS_698,31.119806,121.071074,3001740,151,0.189849
BS_699,31.120602,121.581473,10157400,221,0.642418
BS_700,31.120714,121.426930,24180480,465,1.529326
BS_701,31.120753,121.381579,13519080,442,0.855032
BS_702,31.120822,121.290010,10975800,165,0.694179
BS_703,31.120864,121.389141,21298260,781,1.347036
BS_704,31.121127,121.243829,6789000,227,0.429379
BS_705,31.121152,121.141999,11665980,191,0.737830
BS_706,31.121363,121.369095,12392580,229,0.783785
BS_707,31.121932,121.334810,16554480,107,1.047010
BS_708,31.121996,121.393805,2935680,9,0.185671
BS_709,31.122449,121.582926,8055780,255,0.509498
BS_710,31.122623,121.433813,15813960,220,1.000175
BS_711,31.122643,121.734179,4772940,68,0.301871
BS_712,31.122978,121.704554,4401660,79,0.278389
BS_713,31.123026,120.926117,180060,13,0.011388
BS_714,31.123394,121.278015,21142560,218,1.337189
BS_715,31.123621,121.266561,1290480,88,0.081618
BS_716,31.123763,120.901878,104400,15,0.006603
BS_717,31.124080,121.716759,6034080,53,0.381633
BS_718,31.124501,121.327910,14513100,161,0.917900
BS_719,31.124664,121.323455,16640640,307,1.052459
BS_720,31.124812,121.508263,6258300,81,0.395814
BS_721,31.125467,121.581832,23588100,219,1.491860
BS_722,31.125695,121.464010,11163240,223,0.706034
BS_723,31.125764,121.562057,19150380,247,1.211191
BS_724,31.126179,121.378046,436920,23,0.027634
BS_725,31.126339,121.573213,6573060,162,0.415722
BS_726,31.126748,120.934108,370440,20,0.023429
BS_727,31.126777,121.367557,2075820,224,0.131288
BS_728,31.127217,121.335543,19397820,171,1.226840
BS_729,31.127539,121.389284,11110380,179,0.702690
BS_730,31.127837,121.380654,13201800,329,0.834965
BS_731,31.127879,121.452728,9404340,131,0.594790
BS_732,31.128227,121.454410,11758440,271,0.743678
BS_733,31.128344,121.629697,95940,12,0.006068
BS_734,31.129363,121.425144,340020,6,0.021505
BS_735,31.129482,121.192266,1709400,81,0.108113
BS_736,31.129955,121.336848,23727960,371,1.500706
BS_737,31.130862,121.091425,10916460,281,0.690426
BS_738,31.130891,121.472384,5821500,272,0.368188
BS_739,31.131070,121.298444,10398600,231,0.657673
BS_740,31.131231,121.398758,35192880,572,2.225820
BS_741,31.131416,121.429704,22133460,345,1.399860
BS_742,31.132311,121.362691,7572840,277,0.478954
BS_743,31.132602,121.095863,471540,87,0.029823
BS_744,31.132640,121.324430,9068640,158,0.573558
BS_745,31.132785,121.413457,16173120,246,1.022890
BS_746,31.132833,121.172810,3774660,54,0.238733
BS_747,31.133956,121.526289,15799560,146,0.999264
BS_748,31.134254,121.280533,14617200,224,0.924484
BS_749,31.134484,121.427640,4115400,165,0.260284
BS_750,31.134548,121.390950,16758480,407,1.059912
BS_751,31.134786,121.444969,15746280,279,0.995894
BS_752,31.134917,121.334281,2347140,256,0.148448
BS_753,31.135217,121.612931,26640,2,0.001685
BS_754,31.135275,121.765517,128160,5,0.008106
BS_755,31.136230,121.778480,1056060,49,0.066792
BS_756,31.136777,121.546762,7792800,72,0.492866
BS_757,31.136936,121.325876,139380,25,0.008815
BS_758,31.137143,121.545715,3552480,56,0.224681
BS_759,31.137509,121.407680,25570860,943,1.617262
BS_760,31.137560,121.339005,25049220,248,1.584271
BS_761,31.137582,121.083916,3993300,81,0.252561
BS_762,31.138371,121.416975,21837000,674,1.381110
BS_763,31.138666,121.398483,313860,53,0.019850
BS_764,31.139017,121.545465,3072840,1,0.194346
BS_765,31.139021,121.323325,80400,8,0.005085
BS_766,31.139023,121.356356,273300,3,0.017285
BS_767,31.139255,121.409759,4002720,89,0.253157
BS_768,31.139656,121.378972,428100,21,0.027076
BS_769,31.139657,121.298915,14841660,202,0.938680
BS_770,31.139721,121.673912,3998640,104,0.252899
BS_771,31.140348,121.210964,207180,16,0.013103
BS_772,31.140384,121.620758,36729480,465,2.323004
BS_773,31.140855,121.360032,22625100,353,1.430954
BS_774,31.140979,121.586245,15898020,163,1.005491
BS_775,31.141245,121.500503,9560580,461,0.604671
BS_776,31.141982,121.459872,17738040,227,1.121866
BS_777,31.142218,121.413767,3117660,217,0.197180
BS_778,31.142588,121.756503,163800,65,0.010360
BS_779,31.142865,121.330843,14726100,353,0.931371
BS_780,31.142941,121.443942,7168740,272,0.453396
BS_781,31.143297,121.132883,19008000,544,1.202186
BS_782,31.143351,121.352765,77820,5,0.004922
BS_783,31.143681,121.353698,990180,8,0.062625
BS_784,31.143754,121.434357,7131720,262,0.451055
BS_785,31.143774,121.519955,9438360,127,0.596941
BS_786,31.143835,120.935676,317520,11,0.020082
BS_787,31.143965,121.573343,11456340,296,0.724571
BS_788,31.144212,121.508250,7966800,208,0.503871
BS_789,31.144653,121.478451,3582600,318,0.226586
BS_790,31.144812,121.119606,7573260,132,0.478981
BS_791,31.145387,121.616230,13983600,188,0.884411
BS_792,31.145439,121.417433,29879220,1026,1.889750
BS_793,31.145641,121.449009,3447420,244,0.218037
BS_794,31.145654,121.375598,3405360,244,0.215376
BS_795,31.145979,121.376079,128940,14,0.008155
BS_796,31.146112,121.504322,254160,32,0.016075
BS_797,31.146285,121.518893,2148540,90,0.135887
BS_798,31.146311,121.399951,45118500,505,2.853578
BS_799,31.146522,121.352501,41739660,340,2.639879
BS_800,31.146551,121.235394,3158940,182,0.199791
BS_801,31.147783,121.366475,8498280,289,0.537485
BS_802,31.147903,121.403379,7022640,494,0.444156
BS_803,31.148334,121.420448,1003200,218,0.063449
BS_804,31.148773,121.387158,20469780,570,1.294638
BS_805,31.148785,121.115114,3234720,92,0.204584
BS_806,31.148848,121.314851,20933820,235,1.323987
BS_807,31.149062,121.392526,426900,46,0.027000
BS_808,31.149628,121.439240,11016000,269,0.696721
BS_809,31.149677,121.729053,20602320,75,1.303021
BS_810,31.149689,121.531301,19786980,352,1.251453
BS_811,31.150193,121.454190,3198360,186,0.202284
BS_812,31.150287,121.471783,532140,129,0.033656
BS_813,31.150303,121.430423,496320,72,0.031390
BS_814,31.150398,121.537521,22563780,237,1.427076
BS_815,31.150483,121.491401,13234680,430,0.837045
BS_816,31.150587,121.499019,919920,88,0.058182
BS_817,31.150662,121.434931,5584440,253,0.353195
BS_818,31.150797,121.728702,5268120,89,0.333189
BS_819,31.150865,121.336324,156720,7,0.009912
BS_820,31.151008,121.324166,2114400,27,0.133728
BS_821,31.151421,121.279419,6602580,126,0.417589
BS_822,31.151539,121.411090,15913620,443,1.006478
BS_823,31.151756,121.140651,109140,4,0.006903
BS_824,31.152045,121.420017,3303960,172,0.208963
BS_825,31.152157,121.514858,37256580,533,2.356341
BS_826,31.152177,121.172752,3189240,90,0.201708
BS_827,31.152182,121.564661,10410000,215,0.658394
BS_828,31.152280,121.118001,10813260,125,0.683899
BS_829,31.152563,121.460663,183720,4,0.011620
BS_830,31.152571,121.412981,105360,12,0.006664
BS_831,31.152749,121.182589,3425160,3,0.216629
BS_832,31.153746,121.504388,4997820,112,0.316094
BS_833,31.154144,121.118793,117660,12,0.007442
BS_834,31.154462,121.123826,69840,12,0.004417
BS_835,31.154497,121.501351,218820,39,0.013840
BS_836,31.154675,121.813740,2085060,381,0.131872
BS_837,31.154875,121.131226,5980200,121,0.378226
BS_838,31.154909,121.436989,1891320,172,0.119619
BS_839,31.154923,121.360450,30507000,524,1.929455
BS_840,31.155148,121.597536,2359740,9,0.149245
BS_841,31.155297,121.573504,17622480,150,1.114557
BS_842,31.155342,121.810500,2484900,406,0.157161
BS_843,31.155344,121.202500,6078240,149,0.384426
BS_844,31.155349,121.375527,1258800,165,0.079614
BS_845,31.155379,121.765101,8520,2,0.000539
BS_846,31.155384,121.771585,15750600,61,0.996167
BS_847,31.155403,121.576420,29699340,381,1.878374
BS_848,31.155620,121.130864,282360,2,0.017858
BS_849,31.155848,121.383402,20336280,430,1.286195
BS_850,31.156341,121.512599,937320,6,0.059282
BS_851,31.156361,121.131706,94980,5,0.006007
BS_852,31.156365,121.418310,400560,8,0.025334
BS_853,31.156454,121.815297,1539300,299,0.097355
BS_854,31.156811,121.236841,265440,32,0.016788
BS_855,31.156874,121.348458,11787900,319,0.745541
BS_856,31.156928,121.121902,1660440,49,0.105017
BS_857,31.156954,121.146623,340860,6,0.021558
BS_858,31.157020,121.106352,553740,26,0.035022
BS_859,31.157022,121.498865,308580,69,0.019517
BS_860,31.157151,121.431115,906240,238,0.057316
BS_861,31.157241,121.418919,33953220,386,2.147416
BS_862,31.157362,121.221594,3770160,196,0.238449
BS_863,31.157536,121.203337,18313380,141,1.158254
BS_864,31.157677,121.424531,5006160,162,0.316621
BS_865,31.157983,121.104293,46740,3,0.002956
BS_866,31.158202,121.389411,13093740,219,0.828131
BS_867,31.158515,121.138400,5122200,102,0.323960
BS_868,31.158559,121.319801,27570180,179,1.743712
BS_869,31.158843,121.127268,11414160,129,0.721903
BS_870,31.159304,121.358718,22120680,663,1.399051
BS_871,31.159523,121.435774,5520000,537,0.349120
BS_872,31.159536,121.144200,248460,28,0.015714
BS_873,31.159569,121.145966,1397640,62,0.088396
BS_874,31.159667,121.515041,1694280,74,0.107157
BS_875,31.159704,121.457647,12568560,229,0.794915
BS_876,31.159756,121.525433,12069720,310,0.763365
BS_877,31.159771,121.588960,1874100,5,0.118530
BS_878,31.160079,121.370790,4314060,296,0.272848
BS_879,31.160199,121.557134,5846100,235,0.369744
BS_880,31.160324,121.508559,56760,21,0.003590
BS_881,31.160355,121.454785,7403880,44,0.468268
BS_882,31.161027,121.722478,3414060,65,0.215927
BS_883,31.161066,121.354642,871920,72,0.055146
BS_884,31.161442,121.507559,305940,36,0.019350
BS_885,31.161635,121.286602,1994880,111,0.126169
BS_886,31.161896,121.135143,48840,1,0.003089
BS_887,31.162111,121.566673,431760,27,0.027307
BS_888,31.162282,121.426688,8659440,224,0.547678
BS_889,31.162395,121.353836,1529580,214,0.096740
BS_890,31.162463,121.364262,6634440,444,0.419604
BS_891,31.162714,121.772242,8305020,170,0.525262
BS_892,31.162868,121.448422,12281280,313,0.776746
BS_893,31.163201,121.111390,2720400,68,0.172055
BS_894,31.163339,121.469291,1559700,101,0.098645
BS_895,31.163393,121.381735,23608740,638,1.493166
BS_896,31.163400,121.396418,1310880,123,0.082908
BS_897,31.163432,121.354451,23486100,576,1.485409
BS_898,31.163459,121.574025,11168280,219,0.706352
BS_899,31.163460,121.405127,13613160,215,0.860982
BS_900,31.163705,121.503747,28307640,281,1.790354
BS_901,31.164195,121.330502,25797120,469,1.631573
BS_902,31.164838,121.410811,1476720,214,0.093397
BS_903,31.165276,121.419648,34020,2,0.002152
BS_904,31.165339,121.427732,7570380,209,0.478799
BS_905,31.165389,121.119468,119340,13,0.007548
BS_906,31.165840,121.530742,7424340,202,0.469562
BS_907,31.165863,121.398738,152760,11,0.009662
BS_908,31.166007,121.457766,5912220,208,0.373926
BS_909,31.166046,121.642137,2062080,110,0.130419
BS_910,31.166058,121.403691,3189060,271,0.201696
BS_911,31.166365,121.419792,4856520,126,0.307157
BS_912,31.166408,121.569203,16538340,397,1.045989
BS_913,31.166663,121.412681,243420,2,0.015395
BS_914,31.166910,121.115166,5596680,83,0.353969
BS_915,31.167195,121.389325,35280,9,0.002231
BS_916,31.167279,121.113649,6944040,95,0.439185
BS_917,31.167412,121.436492,9060,4,0.000573
BS_918,31.167548,121.425927,10980,2,0.000694
BS_919,31.167947,121.670231,5062680,166,0.320196
BS_920,31.168070,121.488657,4113780,395,0.260181
BS_921,31.168125,121.503534,332880,68,0.021053
BS_922,31.168241,121.437559,2863200,126,0.181087
BS_923,31.168296,121.588625,3751320,214,0.237257
BS_924,31.168501,121.402505,447900,8,0.028328
BS_925,31.168519,121.804669,5106240,425,0.322951
BS_926,31.168688,121.487892,304440,19,0.019255
BS_927,31.168720,121.768142,6939000,141,0.438866
BS_928,31.168853,121.394657,4145040,222,0.262158
BS_929,31.168922,121.412651,14174520,330,0.896486
BS_930,31.168938,121.543330,4176600,85,0.264155
BS_931,31.169078,121.433389,440760,28,0.027876
BS_932,31.169488,121.349667,121680,15,0.007696
BS_933,31.169494,121.302234,567840,5,0.035914
BS_934,31.169703,121.412163,1197240,10,0.075721
BS_935,31.169796,121.528470,2465040,17,0.155905
BS_936,31.169908,121.418183,149580,9,0.009460
BS_937,31.170097,121.608906,2518680,185,0.159297
BS_938,31.170230,121.337413,26746140,770,1.691595
BS_939,31.170526,121.349960,207180,2,0.013103
BS_940,31.170804,121.278846,17220,6,0.001089
BS_941,31.170967,121.400720,1029600,14,0.065118
BS_942,31.171101,121.507145,13456620,126,0.851082
BS_943,31.171480,121.411456,36960,3,0.002338
BS_944,31.171648,121.110276,2043060,91,0.129216
BS_945,31.171686,121.441221,7718640,444,0.488175
BS_946,31.171916,121.718029,2823960,114,0.178605
BS_947,31.171972,121.140685,10813740,474,0.683929
BS_948,31.172160,121.347748,177420,29,0.011221
BS_949,31.172470,121.404203,10789500,401,0.682396
BS_950,31.172550,121.363745,8796060,301,0.556318
BS_951,31.172550,121.405133,76980,3,0.004869
BS_952,31.172757,121.425965,16383120,459,1.036172
BS_953,31.172778,121.534530,836040,17,0.052876
BS_954,31.172866,121.434994,220620,17,0.013953
BS_955,31.173163,121.356571,6840360,198,0.432628
BS_956,31.173828,121.781108,211620,17,0.013384
BS_957,31.173856,121.350522,6627480,392,0.419164
BS_958,31.174053,121.282683,18688800,355,1.181998
BS_959,31.174203,121.431404,3024360,537,0.191280
BS_960,31.174217,121.289644,990660,39,0.062656
BS_961,31.174223,121.436719,66960,6,0.004235
BS_962,31.174287,121.435995,149280,23,0.009441
BS_963,31.174304,121.436093,361320,42,0.022852
BS_964,31.174400,121.285083,18112140,234,1.145526
BS_965,31.174460,121.798555,10800,3,0.000683
BS_966,31.174661,121.528220,22855500,225,1.445526
BS_967,31.174748,121.392470,4244040,137,0.268420
BS_968,31.175318,121.181299,17728380,114,1.121255
BS_969,31.175621,121.317835,13102920,347,0.828711
BS_970,31.175781,121.643301,5627220,242,0.355901
BS_971,31.175943,121.424363,1817280,265,0.114936
BS_972,31.175983,121.381611,1008720,106,0.063798
BS_973,31.176050,121.431225,4191840,219,0.265118
BS_974,31.176090,121.382302,172920,13,0.010937
BS_975,31.176250,121.418829,172020,10,0.010880
BS_976,31.176379,121.397706,10783680,119,0.682028
BS_977,31.176489,121.188906,888060,192,0.056167
BS_978,31.176650,121.132941,10023900,108,0.633975
BS_979,31.176728,121.407443,53880,8,0.003408
BS_980,31.176807,121.251063,13161720,133,0.832430
BS_981,31.176813,121.439114,6862140,254,0.434005
BS_982,31.176978,121.499522,13481280,337,0.852641
BS_983,31.176998,121.423586,7794720,258,0.492987
BS_984,31.177067,121.370844,8376300,319,0.529770
BS_985,31.177098,121.525845,223500,15,0.014136
BS_986,31.177169,121.445517,8618160,261,0.545067
BS_987,31.177248,121.512490,349380,12,0.022097
BS_988,31.177291,121.405153,497880,4,0.031489
BS_989,31.177439,121.108654,34440,5,0.002178
BS_990,31.177620,121.511042,19894800,131,1.258273
BS_991,31.177646,121.555355,7354860,192,0.465168
BS_992,31.177667,121.410757,60900,4,0.003852
BS_993,31.177836,121.408499,259380,7,0.016405
BS_994,31.177858,121.346956,13927260,536,0.880848
BS_995,31.178033,121.487803,1642800,237,0.103901
BS_996,31.178085,121.409564,91200,3,0.005768
BS_997,31.178088,121.413515,13991760,183,0.884927
BS_998,31.178278,121.606216,4908540,211,0.310447
BS_999,31.178359,121.279284,11127180,380,0.703753
BS_1000,31.178673,121.521509,172620,4,0.010918
BS_1001,31.178962,121.388264,1145700,191,0.072461
BS_1002,31.179351,121.312860,229260,15,0.014500
BS_1003,31.179390,121.754087,6669720,84,0.421835
BS_1004,31.179594,121.559510,114180,7,0.007221
BS_1005,31.179738,121.422728,55320,6,0.003499
BS_1006,31.179835,121.429502,10761420,287,0.680620
BS_1007,31.180043,121.609028,802320,113,0.050744
BS_1008,31.180175,121.422303,11970180,218,0.757070
BS_1009,31.180260,121.406339,8058420,323,0.509665
BS_1010,31.180466,121.441251,10443900,351,0.660538
BS_1011,31.180526,121.349428,74940,10,0.004740
BS_1012,31.180581,121.527653,722100,124,0.045670
BS_1013,31.180728,121.386832,9540,4,0.000603
BS_1014,31.180753,121.749174,3802800,100,0.240513
BS_1015,31.180763,121.476049,5644740,285,0.357009
BS_1016,31.180780,121.423677,816000,146,0.051609
BS_1017,31.180824,121.525363,1286700,141,0.081379
BS_1018,31.180897,121.463904,5124540,202,0.324108
BS_1019,31.180994,121.377204,309720,15,0.019589
BS_1020,31.181381,121.688934,5849640,86,0.369968
BS_1021,31.181485,121.520026,31509240,263,1.992843
BS_1022,31.181580,121.295188,13560,3,0.000858
BS_1023,31.181629,121.510713,266640,57,0.016864
BS_1024,31.181785,121.529159,7491120,269,0.473786
BS_1025,31.182032,121.388195,69240,14,0.004379
BS_1026,31.182122,121.377455,603720,53,0.038183
BS_1027,31.182189,121.394088,8282460,275,0.523835
BS_1028,31.182198,121.390214,6697080,249,0.423566
BS_1029,31.182284,121.449609,16680,1,0.001055
BS_1030,31.182300,121.394288,42120,6,0.002664
BS_1031,31.182371,121.526439,3569520,228,0.225759
BS_1032,31.182415,121.381272,2445840,86,0.154690
BS_1033,31.182483,121.576200,14138280,96,0.894194
BS_1034,31.182633,121.439015,528720,2,0.033440
BS_1035,31.182725,121.414920,4495260,101,0.284309
BS_1036,31.183039,121.434356,249600,27,0.015786
BS_1037,31.183064,121.407773,2115840,88,0.133819
BS_1038,31.183323,121.447822,22609560,753,1.429971
BS_1039,31.183857,121.637321,21215280,257,1.341788
BS_1040,31.183859,121.415119,53340,5,0.003374
BS_1041,31.184319,121.230946,9755340,126,0.616989
BS_1042,31.184327,121.381012,331800,33,0.020985
BS_1043,31.184347,121.441392,892200,129,0.056428
BS_1044,31.184426,121.158110,1561740,45,0.098774
BS_1045,31.184580,121.420921,542700,45,0.034324
BS_1046,31.184752,121.387556,119880,6,0.007582
BS_1047,31.184883,121.430689,2247420,156,0.142141
BS_1048,31.184888,121.510295,19981320,326,1.263745
BS_1049,31.184951,121.409317,576420,2,0.036456
BS_1050,31.184979,121.310460,2334000,121,0.147617
BS_1051,31.185044,121.414303,607860,3,0.038445
BS_1052,31.185065,121.503655,1735140,222,0.109741
BS_1053,31.185126,121.451633,1054620,2,0.066701
BS_1054,31.185189,121.445449,973740,14,0.061585
BS_1055,31.185228,121.169700,2599020,78,0.164378
BS_1056,31.185812,121.457923,4611660,170,0.291670
BS_1057,31.186057,121.448720,371100,44,0.023471
BS_1058,31.186176,121.539110,488520,52,0.030897
BS_1059,31.186202,121.547930,324120,22,0.020499
BS_1060,31.186411,121.402496,36420,5,0.002303
BS_1061,31.186465,121.429887,12755940,333,0.806766
BS_1062,31.186628,121.372116,9423900,210,0.596027
BS_1063,31.186698,121.448550,474000,107,0.029979
BS_1064,31.186740,121.380533,542280,33,0.034297
BS_1065,31.186975,121.398899,8340,2,0.000527
BS_1066,31.187130,121.451332,3768180,221,0.238323
BS_1067,31.187254,121.536259,14171220,169,0.896277
BS_1068,31.187384,121.470686,394920,25,0.024977
BS_1069,31.187492,121.452395,87300,8,0.005521
BS_1070,31.187712,121.432106,199560,7,0.012621
BS_1071,31.187829,121.452956,120780,28,0.007639
BS_1072,31.187859,121.444801,849300,177,0.053715
BS_1073,31.188068,121.699562,66060,17,0.004178
BS_1074,31.188145,121.432275,785820,5,0.049700
BS_1075,31.188181,121.442033,126060,9,0.007973
BS_1076,31.188183,121.440258,660,2,0.000042
BS_1077,31.188258,121.301297,1143900,4,0.072347
BS_1078,31.188332,121.405187,266700,6,0.016868
BS_1079,31.188510,121.403115,2194500,26,0.138794
BS_1080,31.188512,121.437591,2114160,237,0.133713
